miRNA,SRR12344552_trim_joined
Hsa-Let-7-P10_3p*,30.0
Hsa-Let-7-P10_5p/7-P5_5p,63495.0
Hsa-Let-7-P11_3p*,13.0
Hsa-Let-7-P11_5p,11357.0
Hsa-Let-7-P12_3p*,118.0
Hsa-Let-7-P12_5p,22425.0
Hsa-Let-7-P1_3p*,0.0
Hsa-Let-7-P1_5p/7-P3_5p/7-P6_5p/7-P7_5p,24150.0
Hsa-Let-7-P2_3p*,10.0
Hsa-Let-7-P2_5p,574.0
Hsa-Let-7-P3_3p*,0.0
Hsa-Let-7-P4_3p*,1849.0
Hsa-Let-7-P4_5p,2830.0
Hsa-Let-7-P5_3p*,18.0
Hsa-Let-7-P6_3p*/7-P7_3p*,83.0
Hsa-Let-7-P8_3p*,102.0
Hsa-Let-7-P8_5p,9714.0
Hsa-Let-7-P9_3p*,0.0
Hsa-Let-7-P9_5p,934.0
Hsa-Mir-1-P1_3p/1-P2_3p,0.0
Hsa-Mir-1-P1_5p*,0.0
Hsa-Mir-1-P2_5p*,0.0
Hsa-Mir-1-P3_3p,0.0
Hsa-Mir-1-P3_5p*,0.0
Hsa-Mir-10-P1a-v1_3p*/10-P1a-v2_3p*,8.0
Hsa-Mir-10-P1a-v1_5p/10-P1a-v2_5p,14559.0
Hsa-Mir-10-P1b-v1_3p*/10-P1b-v2_3p*,19.0
Hsa-Mir-10-P1b-v1_5p/10-P1b-v2_5p,39265.0
Hsa-Mir-10-P2a_3p*,0.0
Hsa-Mir-10-P2a_5p,661.0
Hsa-Mir-10-P2b_3p*,12.0
Hsa-Mir-10-P2b_5p,222.0
Hsa-Mir-10-P2c_3p*,26.0
Hsa-Mir-10-P2c_5p,1098.0
Hsa-Mir-10-P3a_3p*,52.0
Hsa-Mir-10-P3a_5p,2147.0
Hsa-Mir-10-P3b_3p*,0.0
Hsa-Mir-10-P3b_5p/10-P3c_5p,358.0
Hsa-Mir-10-P3c_3p*,110.0
Hsa-Mir-101-P1-v1_3p/101-P1-v2_3p/101-P2-v1_3p/101-P2-v2_3p,20009.0
Hsa-Mir-101-P1-v1_5p*/101-P1-v2_5p*,41.0
Hsa-Mir-101-P2-v1_5p*/101-P2-v2_5p*,0.0
Hsa-Mir-103-P1_3p/103-P2_3p/103-P3_3p,25273.0
Hsa-Mir-103-P1_5p*/103-P2_5p*,0.0
Hsa-Mir-103-P3_5p*,0.0
Hsa-Mir-105-P1_3p*/105-P2_3p*,0.0
Hsa-Mir-105-P1_5p/105-P2_5p,0.0
Hsa-Mir-1179_3p*,0.0
Hsa-Mir-1179_5p,0.0
Hsa-Mir-1180_3p,107.0
Hsa-Mir-1180_5p*,0.0
Hsa-Mir-122_3p*,9.0
Hsa-Mir-122_5p,118.0
Hsa-Mir-124-P1-v1_3p/124-P1-v2_3p/124-P2-v1_3p/124-P2-v2_3p/124-P3-v1_3p/124-P3-v2_3p,2.0
Hsa-Mir-124-P1-v1_5p*/124-P1-v2_5p*/124-P2-v1_5p*/124-P2-v2_5p*/124-P3-v1_5p*/124-P3-v2_5p*,0.0
Hsa-Mir-1245_3p*,0.0
Hsa-Mir-1245_5p,0.0
Hsa-Mir-1247_3p*,0.0
Hsa-Mir-1247_5p,0.0
Hsa-Mir-1249_3p,7.0
Hsa-Mir-1249_5p*,0.0
Hsa-Mir-1251_3p*,0.0
Hsa-Mir-1251_5p,0.0
Hsa-Mir-1252_3p*,0.0
Hsa-Mir-1252_5p,0.0
Hsa-Mir-1256_3p*,0.0
Hsa-Mir-1256_5p,0.0
Hsa-Mir-126-v1_3p/126-v2_3p/126-v3_3p,3452.0
Hsa-Mir-126-v1_5p/126-v2_5p*/126-v3_5p*,31259.0
Hsa-Mir-1266_3p*,0.0
Hsa-Mir-1266_5p,0.0
Hsa-Mir-1269_3p,0.0
Hsa-Mir-1269_5p*,0.0
Hsa-Mir-1270_3p*,0.0
Hsa-Mir-1270_5p,49.0
Hsa-Mir-1271_3p*,0.0
Hsa-Mir-1271_5p,11.0
Hsa-Mir-1276_3p*,0.0
Hsa-Mir-1276_5p,0.0
Hsa-Mir-1277_3p*,0.0
Hsa-Mir-1277_5p,6.0
Hsa-Mir-1278_3p,3.0
Hsa-Mir-1278_5p*,0.0
Hsa-Mir-127_3p,1042.0
Hsa-Mir-127_5p*,0.0
Hsa-Mir-128-P1_3p/128-P2_3p,3444.0
Hsa-Mir-128-P1_5p*,27.0
Hsa-Mir-128-P2_5p*,0.0
Hsa-Mir-1286_3p,0.0
Hsa-Mir-1286_5p*,0.0
Hsa-Mir-1287_3p*,0.0
Hsa-Mir-1287_5p,31.0
Hsa-Mir-129-P1_3p*/129-P2_3p*,0.0
Hsa-Mir-129-P1_5p/129-P2_5p,0.0
Hsa-Mir-1294_3p*,0.0
Hsa-Mir-1294_5p,59.0
Hsa-Mir-1295_3p,0.0
Hsa-Mir-1295_5p*,0.0
Hsa-Mir-1296_3p*,0.0
Hsa-Mir-1296_5p,11.0
Hsa-Mir-1298_3p*,0.0
Hsa-Mir-1298_5p,0.0
Hsa-Mir-130-P1a_3p,3440.0
Hsa-Mir-130-P1a_5p*,0.0
Hsa-Mir-130-P1b_3p,1121.0
Hsa-Mir-130-P1b_5p*,134.0
Hsa-Mir-130-P2a_3p,555.0
Hsa-Mir-130-P2a_5p*,0.0
Hsa-Mir-130-P2b_3p,66.0
Hsa-Mir-130-P2b_5p*,0.0
Hsa-Mir-130-P4a_3p,359.0
Hsa-Mir-130-P4a_5p*,104.0
Hsa-Mir-1301_3p,44.0
Hsa-Mir-1301_5p*,0.0
Hsa-Mir-1307_3p,270.0
Hsa-Mir-1307_5p,1477.0
Hsa-Mir-132-P1_3p,74.0
Hsa-Mir-132-P1_5p*,21.0
Hsa-Mir-132-P2_3p*,21.0
Hsa-Mir-132-P2_5p,0.0
Hsa-Mir-1323_3p*,0.0
Hsa-Mir-1323_5p,0.0
Hsa-Mir-133-P1-v1_3p/133-P1-v2_3p/133-P2-v1_3p/133-P2-v2_3p/133-P3-v1_3p/133-P3-v2_3p,81.0
Hsa-Mir-133-P1-v1_5p*/133-P1-v2_5p*/133-P2-v1_5p*/133-P2-v2_5p*,0.0
Hsa-Mir-133-P3-v1_5p*/133-P3-v2_5p*,0.0
Hsa-Mir-1343_3p,0.0
Hsa-Mir-1343_5p*,0.0
Hsa-Mir-134_3p*,0.0
Hsa-Mir-134_5p,32.0
Hsa-Mir-135-P1_3p*,0.0
Hsa-Mir-135-P1_5p/135-P2_5p,0.0
Hsa-Mir-135-P2_3p*,0.0
Hsa-Mir-135-P3_3p*,0.0
Hsa-Mir-135-P3_5p,0.0
Hsa-Mir-136-v1_3p/136-v2_3p,97.0
Hsa-Mir-136-v1_5p*/136-v2_5p*,21.0
Hsa-Mir-137-P1_3p,0.0
Hsa-Mir-137-P1_5p*,0.0
Hsa-Mir-138-P1_3p*,0.0
Hsa-Mir-138-P1_5p/138-P2_5p,0.0
Hsa-Mir-138-P2_3p*,0.0
Hsa-Mir-139_3p,0.0
Hsa-Mir-139_5p,44.0
Hsa-Mir-140-v1_3p/140-v2_3p,4851.0
Hsa-Mir-140-v1_5p*/140-v2_5p*,82.0
Hsa-Mir-142-P1-v1_3p*/142-P1-v2_3p/142-P1-v3_3p,1091.0
Hsa-Mir-142-P1-v1_5p/142-P1-v2_5p*/142-P1-v3_5p*,60926.0
Hsa-Mir-143_3p,15734.0
Hsa-Mir-143_5p*,0.0
Hsa-Mir-144-v1_3p*/144-v2_3p*,16101.0
Hsa-Mir-144-v1_5p/144-v2_5p,4425.0
Hsa-Mir-145_3p*,160.0
Hsa-Mir-145_5p,57.0
Hsa-Mir-146-P1_3p*,17.0
Hsa-Mir-146-P1_5p,5597.0
Hsa-Mir-146-P2_3p*,117.0
Hsa-Mir-146-P2_5p,1984.0
Hsa-Mir-147-v1_3p/147-v2_3p,0.0
Hsa-Mir-147-v1_5p*/147-v2_5p*,0.0
Hsa-Mir-148-P1_3p,15530.0
Hsa-Mir-148-P1_5p*,84.0
Hsa-Mir-148-P2_3p,1212.0
Hsa-Mir-148-P2_5p*,102.0
Hsa-Mir-148-P3_3p,149.0
Hsa-Mir-148-P3_5p*,0.0
Hsa-Mir-149_3p*,0.0
Hsa-Mir-149_5p,0.0
Hsa-Mir-15-P1a_3p*,7.0
Hsa-Mir-15-P1a_5p,19031.0
Hsa-Mir-15-P1b_3p*,459.0
Hsa-Mir-15-P1b_5p,562.0
Hsa-Mir-15-P1c_3p*,0.0
Hsa-Mir-15-P1c_5p,28.0
Hsa-Mir-15-P1d_3p*,522.0
Hsa-Mir-15-P1d_5p,64.0
Hsa-Mir-15-P2a_3p*,6.0
Hsa-Mir-15-P2a_5p/15-P2b_5p,240014.0
Hsa-Mir-15-P2b_3p*,6379.0
Hsa-Mir-15-P2c_3p*,17.0
Hsa-Mir-15-P2c_5p,34.0
Hsa-Mir-15-P2d_3p*,0.0
Hsa-Mir-15-P2d_5p,0.0
Hsa-Mir-150_3p*,107.0
Hsa-Mir-150_5p,4031.0
Hsa-Mir-153-P1_3p/153-P2_3p,5.0
Hsa-Mir-153-P1_5p*,7.0
Hsa-Mir-153-P2_5p*,0.0
Hsa-Mir-154-P10_3p,0.0
Hsa-Mir-154-P10_5p,0.0
Hsa-Mir-154-P12_3p,163.0
Hsa-Mir-154-P12_5p*,0.0
Hsa-Mir-154-P13_3p*,0.0
Hsa-Mir-154-P13_5p,81.0
Hsa-Mir-154-P14_3p*,0.0
Hsa-Mir-154-P14_5p,15.0
Hsa-Mir-154-P15_3p*,0.0
Hsa-Mir-154-P15_5p,16.0
Hsa-Mir-154-P16_3p,13.0
Hsa-Mir-154-P16_5p,0.0
Hsa-Mir-154-P17_3p,18.0
Hsa-Mir-154-P17_5p*,0.0
Hsa-Mir-154-P18_3p,10.0
Hsa-Mir-154-P18_5p*,0.0
Hsa-Mir-154-P19_3p,4.0
Hsa-Mir-154-P19_5p*,0.0
Hsa-Mir-154-P1_3p,0.0
Hsa-Mir-154-P1_5p,0.0
Hsa-Mir-154-P2-v1_3p/154-P2-v2_3p*,0.0
Hsa-Mir-154-P2-v1_5p*/154-P2-v2_5p,0.0
Hsa-Mir-154-P20-v1_3p,0.0
Hsa-Mir-154-P20-v1_5p*/154-P20-v2_5p*,0.0
Hsa-Mir-154-P20-v2_3p,4.0
Hsa-Mir-154-P21_3p,10.0
Hsa-Mir-154-P21_5p*,0.0
Hsa-Mir-154-P22_3p,17.0
Hsa-Mir-154-P22_5p*,0.0
Hsa-Mir-154-P23_3p,260.0
Hsa-Mir-154-P23_5p*,22.0
Hsa-Mir-154-P24_3p,0.0
Hsa-Mir-154-P24_5p*,0.0
Hsa-Mir-154-P25_3p,0.0
Hsa-Mir-154-P25_5p*,0.0
Hsa-Mir-154-P26_3p,0.0
Hsa-Mir-154-P26_5p*,0.0
Hsa-Mir-154-P27_3p,22.0
Hsa-Mir-154-P27_5p*,0.0
Hsa-Mir-154-P28a_3p/154-P28b_3p,7.0
Hsa-Mir-154-P28a_5p*/154-P28b_5p,0.0
Hsa-Mir-154-P29_3p,0.0
Hsa-Mir-154-P29_5p*,0.0
Hsa-Mir-154-P30_3p,14.0
Hsa-Mir-154-P30_5p*,0.0
Hsa-Mir-154-P36_3p,538.0
Hsa-Mir-154-P36_5p*,9.0
Hsa-Mir-154-P3a-v1_3p/154-P3a-v2_3p,12.0
Hsa-Mir-154-P3a-v1_5p*/154-P3a-v2_5p*,0.0
Hsa-Mir-154-P3b_3p,25.0
Hsa-Mir-154-P3b_5p*,0.0
Hsa-Mir-154-P4a_3p/154-P4b_3p,0.0
Hsa-Mir-154-P4a_5p*/154-P4b_5p*,0.0
Hsa-Mir-154-P5_3p,22.0
Hsa-Mir-154-P5_5p,11.0
Hsa-Mir-154-P6_3p,6.0
Hsa-Mir-154-P6_5p,0.0
Hsa-Mir-154-P7_3p*,3.0
Hsa-Mir-154-P7_5p,0.0
Hsa-Mir-154-P8_3p,5.0
Hsa-Mir-154-P8_5p,0.0
Hsa-Mir-154-P9_3p,65.0
Hsa-Mir-154-P9_5p*,0.0
Hsa-Mir-155_3p*,0.0
Hsa-Mir-155_5p,199.0
Hsa-Mir-17-P1a_3p*,275.0
Hsa-Mir-17-P1a_5p/17-P1b_5p,1124.0
Hsa-Mir-17-P1b_3p*,7.0
Hsa-Mir-17-P2a_3p*,246.0
Hsa-Mir-17-P2a_5p,138.0
Hsa-Mir-17-P2b_3p*,16.0
Hsa-Mir-17-P2b_5p,33.0
Hsa-Mir-17-P3a_3p*,11.0
Hsa-Mir-17-P3a_5p,618.0
Hsa-Mir-17-P3b_3p*,0.0
Hsa-Mir-17-P3b_5p,138.0
Hsa-Mir-17-P4_3p,3960.0
Hsa-Mir-17-P4_5p,2293.0
Hsa-Mir-17-P5_3p*,94.0
Hsa-Mir-17-P5_5p,19016.0
Hsa-Mir-181-P1a_3p*,96.0
Hsa-Mir-181-P1a_5p/181-P1b_5p,38103.0
Hsa-Mir-181-P1b_3p*,223.0
Hsa-Mir-181-P1c_3p*,117.0
Hsa-Mir-181-P1c_5p,662.0
Hsa-Mir-181-P2a_3p*,0.0
Hsa-Mir-181-P2a_5p/181-P2b_5p,794.0
Hsa-Mir-181-P2b_3p*,15.0
Hsa-Mir-181-P2c_3p*,0.0
Hsa-Mir-181-P2c_5p,82.0
Hsa-Mir-184_3p,0.0
Hsa-Mir-184_5p*,0.0
Hsa-Mir-185_3p*,77.0
Hsa-Mir-185_5p,93.0
Hsa-Mir-186_3p*,0.0
Hsa-Mir-186_5p,15298.0
Hsa-Mir-187_3p,0.0
Hsa-Mir-187_5p*,0.0
Hsa-Mir-188-P1_3p*,0.0
Hsa-Mir-188-P1_5p,20.0
Hsa-Mir-188-P2_3p*,58.0
Hsa-Mir-188-P2_5p,2930.0
Hsa-Mir-188-P3_3p*,0.0
Hsa-Mir-188-P3_5p,513.0
Hsa-Mir-19-P1_3p,703.0
Hsa-Mir-19-P1_5p*,0.0
Hsa-Mir-19-P2a_3p/19-P2b_3p,2552.0
Hsa-Mir-19-P2a_5p*,0.0
Hsa-Mir-19-P2b_5p*,0.0
Hsa-Mir-190-P1_3p*,0.0
Hsa-Mir-190-P1_5p,56.0
Hsa-Mir-190-P2_3p*,0.0
Hsa-Mir-190-P2_5p,19.0
Hsa-Mir-1908_3p*,0.0
Hsa-Mir-1908_5p,0.0
Hsa-Mir-191-v1_3p*/191-v2_3p*,97.0
Hsa-Mir-191-v1_5p/191-v2_5p,37593.0
Hsa-Mir-1910_3p,0.0
Hsa-Mir-1910_5p*,11.0
Hsa-Mir-1911_3p*,0.0
Hsa-Mir-1911_5p,0.0
Hsa-Mir-1912_3p,0.0
Hsa-Mir-1912_5p*,0.0
Hsa-Mir-1913_3p*,0.0
Hsa-Mir-1913_5p,0.0
Hsa-Mir-1914_3p*,0.0
Hsa-Mir-1914_5p,0.0
Hsa-Mir-1915_3p*,0.0
Hsa-Mir-1915_5p,0.0
Hsa-Mir-192-P1_3p*,0.0
Hsa-Mir-192-P1_5p/192-P2_5p,24379.0
Hsa-Mir-192-P2_3p*,0.0
Hsa-Mir-193-P1a_3p*,0.0
Hsa-Mir-193-P1a_5p,0.0
Hsa-Mir-193-P1b_3p,10.0
Hsa-Mir-193-P1b_5p,38.0
Hsa-Mir-193-P2a-v1_3p/193-P2a-v2_3p/193-P2b_3p,17.0
Hsa-Mir-193-P2a-v1_5p/193-P2a-v2_5p,0.0
Hsa-Mir-193-P2b_5p*,0.0
Hsa-Mir-194-P1_3p*,21.0
Hsa-Mir-194-P1_5p/194-P2_5p,323.0
Hsa-Mir-194-P2_3p*,0.0
Hsa-Mir-196-P1_3p*,0.0
Hsa-Mir-196-P1_5p/196-P2_5p,0.0
Hsa-Mir-196-P2_3p*,0.0
Hsa-Mir-196-P3_3p*,0.0
Hsa-Mir-196-P3_5p,56.0
Hsa-Mir-197_3p,298.0
Hsa-Mir-197_5p*,50.0
Hsa-Mir-199-P1-v1_3p/199-P1-v2_3p/199-P1-v3_3p/199-P2-v1_3p/199-P2-v2_3p/199-P2-v3_3p/199-P3-v1_3p/199-P3-v2_3p/199-P3-v3_3p,2196.0
Hsa-Mir-199-P1-v1_5p*/199-P1-v2_5p*/199-P1-v3_5p*/199-P2-v1_5p*/199-P2-v2_5p*/199-P2-v3_5p*,125.0
Hsa-Mir-199-P3-v1_5p*/199-P3-v2_5p*/199-P3-v3_5p*,100.0
Hsa-Mir-202_3p,0.0
Hsa-Mir-202_5p,0.0
Hsa-Mir-203-v1_3p/203-v2_3p,173.0
Hsa-Mir-203-v1_5p*/203-v2_5p*,0.0
Hsa-Mir-204-P1_3p*,19.0
Hsa-Mir-204-P1_5p,41.0
Hsa-Mir-204-P2_3p*,0.0
Hsa-Mir-204-P2_5p,5.0
Hsa-Mir-205-P1_3p*,0.0
Hsa-Mir-205-P1_5p,41.0
Hsa-Mir-208-P1_3p,0.0
Hsa-Mir-208-P1_5p*,0.0
Hsa-Mir-208-P2_3p,44.0
Hsa-Mir-208-P2_5p*,0.0
Hsa-Mir-210_3p,556.0
Hsa-Mir-210_5p*,0.0
Hsa-Mir-2114_3p,0.0
Hsa-Mir-2114_5p,0.0
Hsa-Mir-2115_3p,0.0
Hsa-Mir-2115_5p*,0.0
Hsa-Mir-2116_3p,15.0
Hsa-Mir-2116_5p*,0.0
Hsa-Mir-214_3p,11.0
Hsa-Mir-214_5p*,21.0
Hsa-Mir-216-P1a_3p*,0.0
Hsa-Mir-216-P1a_5p,16.0
Hsa-Mir-216-P1b_3p*,0.0
Hsa-Mir-216-P1b_5p,0.0
Hsa-Mir-217-v1_3p*/217-v2_3p*,0.0
Hsa-Mir-217-v1_5p/217-v2_5p,11.0
Hsa-Mir-218-P1_3p*,0.0
Hsa-Mir-218-P1_5p/218-P2_5p,11.0
Hsa-Mir-218-P2_3p*,0.0
Hsa-Mir-219-P1_3p*,30.0
Hsa-Mir-219-P1_5p/219-P2_5p*,8.0
Hsa-Mir-219-P2_3p,9.0
Hsa-Mir-21_3p*,1204.0
Hsa-Mir-21_5p,13742.0
Hsa-Mir-22-P1a_3p,103214.0
Hsa-Mir-22-P1a_5p*,73.0
Hsa-Mir-221-P1_3p,2211.0
Hsa-Mir-221-P1_5p*,25.0
Hsa-Mir-221-P2_3p,2052.0
Hsa-Mir-221-P2_5p*,0.0
Hsa-Mir-223_3p,10588.0
Hsa-Mir-223_5p*,187.0
Hsa-Mir-224_3p*,0.0
Hsa-Mir-224_5p,46.0
Hsa-Mir-2276_3p,0.0
Hsa-Mir-2276_5p*,0.0
Hsa-Mir-2277_3p*,0.0
Hsa-Mir-2277_5p,24.0
Hsa-Mir-2278-v1_3p*/2278-v2_3p*,0.0
Hsa-Mir-2278-v1_5p/2278-v2_5p,0.0
Hsa-Mir-23-P1_3p,1334.0
Hsa-Mir-23-P1_5p*,0.0
Hsa-Mir-23-P2_3p,398.0
Hsa-Mir-23-P2_5p*,0.0
Hsa-Mir-2355_3p,0.0
Hsa-Mir-2355_5p,26.0
Hsa-Mir-24-P1_3p/24-P2_3p,711.0
Hsa-Mir-24-P1_5p*,36.0
Hsa-Mir-24-P2_5p*,9.0
Hsa-Mir-2467_3p,0.0
Hsa-Mir-2467_5p*,12.0
Hsa-Mir-26-P1_3p*,3.0
Hsa-Mir-26-P1_5p/26-P2_5p,34970.0
Hsa-Mir-26-P2_3p*,23.0
Hsa-Mir-26-P3_3p*,156.0
Hsa-Mir-26-P3_5p,10112.0
Hsa-Mir-2681_3p,0.0
Hsa-Mir-2681_5p,0.0
Hsa-Mir-27-P1_3p/27-P2_3p,17376.0
Hsa-Mir-27-P1_5p*,6.0
Hsa-Mir-27-P2_5p*,26.0
Hsa-Mir-28-P1_3p,4235.0
Hsa-Mir-28-P1_5p*,250.0
Hsa-Mir-28-P2_3p,8228.0
Hsa-Mir-28-P2_5p,2857.0
Hsa-Mir-28-P3_3p*,25.0
Hsa-Mir-28-P3_5p,0.0
Hsa-Mir-29-P1a_3p,1270.0
Hsa-Mir-29-P1a_5p*,0.0
Hsa-Mir-29-P1b_3p,642.0
Hsa-Mir-29-P1b_5p*,7.0
Hsa-Mir-29-P2a_3p/29-P2b-v1_3p/29-P2b-v2_3p,97.0
Hsa-Mir-29-P2a_5p*,0.0
Hsa-Mir-29-P2b-v1_5p*/29-P2b-v2_5p*,41.0
Hsa-Mir-296_3p*,0.0
Hsa-Mir-296_5p,0.0
Hsa-Mir-30-P1a_3p*,64.0
Hsa-Mir-30-P1a_5p,4053.0
Hsa-Mir-30-P1b_3p*,394.0
Hsa-Mir-30-P1b_5p,21610.0
Hsa-Mir-30-P1c_3p*,57.0
Hsa-Mir-30-P1c_5p,20231.0
Hsa-Mir-30-P2a_3p*,23.0
Hsa-Mir-30-P2a_5p/30-P2b_5p/30-P2c_5p,1418.0
Hsa-Mir-30-P2b_3p*,31.0
Hsa-Mir-30-P2c_3p*,7.0
Hsa-Mir-3059_3p*,0.0
Hsa-Mir-3059_5p,0.0
Hsa-Mir-3085_3p,0.0
Hsa-Mir-3085_5p*,0.0
Hsa-Mir-3121_3p,0.0
Hsa-Mir-3121_5p*,0.0
Hsa-Mir-3126_3p*,0.0
Hsa-Mir-3126_5p,0.0
Hsa-Mir-3127_3p*,0.0
Hsa-Mir-3127_5p,56.0
Hsa-Mir-3130_3p*,0.0
Hsa-Mir-3130_5p,43.0
Hsa-Mir-3136_3p*,0.0
Hsa-Mir-3136_5p,28.0
Hsa-Mir-3138_3p,0.0
Hsa-Mir-3138_5p*,0.0
Hsa-Mir-3140_3p,17.0
Hsa-Mir-3140_5p*,0.0
